Rank,Title,Year,Rating
The Shawshank Redemption,The Shawshank Redemption,1994,9.3
The Godfather,The Godfather,1972,9.2
The Dark Knight,The Dark Knight,2008,9.1
The Godfather Part II,The Godfather Part II,1974,9.0
12 Angry Men,12 Angry Men,1957,9.0
The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,2003,9.0
Schindler's List,Schindler's List,1993,9.0
The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,2001,8.9
Pulp Fiction,Pulp Fiction,1994,8.8
"The Good, the Bad and the Ugly","The Good, the Bad and the Ugly",1966,8.8
The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,2002,8.8
Forrest Gump,Forrest Gump,1994,8.8
Fight Club,Fight Club,1999,8.8
Inception,Inception,2010,8.8
Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back,1980,8.7
The Matrix,The Matrix,1999,8.7
Goodfellas,Goodfellas,1990,8.7
Interstellar,Interstellar,2014,8.7
One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,1975,8.7
Se7en,Se7en,1995,8.6
It's a Wonderful Life,It's a Wonderful Life,1946,8.6
The Silence of the Lambs,The Silence of the Lambs,1991,8.6
Seven Samurai,Seven Samurai,1954,8.6
Saving Private Ryan,Saving Private Ryan,1998,8.6
The Green Mile,The Green Mile,1999,8.6
City of God,City of God,2002,8.6
Life Is Beautiful,Life Is Beautiful,1997,8.6
Terminator 2: Judgment Day,Terminator 2: Judgment Day,1991,8.6
Star Wars: Episode IV - A New Hope,Star Wars: Episode IV - A New Hope,1977,8.6
Back to the Future,Back to the Future,1985,8.5
Spirited Away,Spirited Away,2001,8.6
The Pianist,The Pianist,2002,8.5
Gladiator,Gladiator,2000,8.5
Parasite,Parasite,2019,8.5
Psycho,Psycho,1960,8.5
Grave of the Fireflies,Grave of the Fireflies,1988,8.5
The Lion King,The Lion King,1994,8.5
Harakiri,Harakiri,1962,8.6
The Departed,The Departed,2006,8.5
Whiplash,Whiplash,2014,8.5
The Prestige,The Prestige,2006,8.5
American History X,American History X,1998,8.5
Léon: The Professional,Léon: The Professional,1994,8.5
Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse,2023,8.5
Cinema Paradiso,Cinema Paradiso,1988,8.5
Casablanca,Casablanca,1942,8.5
The Intouchables,The Intouchables,2011,8.5
The Usual Suspects,The Usual Suspects,1995,8.5
Alien,Alien,1979,8.5
Modern Times,Modern Times,1936,8.5
Rear Window,Rear Window,1954,8.5
Django Unchained,Django Unchained,2012,8.5
Once Upon a Time in the West,Once Upon a Time in the West,1968,8.5
City Lights,City Lights,1931,8.5
Apocalypse Now,Apocalypse Now,1979,8.4
WALL·E,WALL·E,2008,8.4
Memento,Memento,2000,8.4
Dune: Part Two,Dune: Part Two,2024,8.4
Raiders of the Lost Ark,Raiders of the Lost Ark,1981,8.4
Avengers: Infinity War,Avengers: Infinity War,2018,8.4
The Lives of Others,The Lives of Others,2006,8.4
Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,2018,8.4
Sunset Boulevard,Sunset Boulevard,1950,8.4
Witness for the Prosecution,Witness for the Prosecution,1957,8.4
Paths of Glory,Paths of Glory,1957,8.4
The Shining,The Shining,1980,8.4
The Great Dictator,The Great Dictator,1940,8.4
Inglourious Basterds,Inglourious Basterds,2009,8.4
Aliens,Aliens,1986,8.4
12th Fail,12th Fail,2023,8.7
High and Low,High and Low,1963,8.4
The Dark Knight Rises,The Dark Knight Rises,2012,8.4
Coco,Coco,2017,8.4
Avengers: Endgame,Avengers: Endgame,2019,8.4
Amadeus,Amadeus,1984,8.4
Good Will Hunting,Good Will Hunting,1997,8.3
Toy Story,Toy Story,1995,8.3
Your Name,Your Name.,2016,8.4
Oldboy,Oldboy,2003,8.3
Das Boot,Das Boot,1981,8.4
Dr,Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3
Braveheart,Braveheart,1995,8.3
Princess Mononoke,Princess Mononoke,1997,8.3
American Beauty,American Beauty,1999,8.3
3 Idiots,3 Idiots,2009,8.4
Capernaum,Capernaum,2018,8.4
Joker,Joker,2019,8.3
Once Upon a Time in America,Once Upon a Time in America,1984,8.3
Singin' in the Rain,Singin' in the Rain,1952,8.3
Come and See,Come and See,1985,8.3
Requiem for a Dream,Requiem for a Dream,2000,8.3
Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode VI - Return of the Jedi,1983,8.3
Toy Story 3,Toy Story 3,2010,8.3
The Hunt,The Hunt,2012,8.3
Ikiru,Ikiru,1952,8.3
Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,2004,8.3
Incendies,Incendies,2010,8.3
The Apartment,The Apartment,1960,8.3
Lawrence of Arabia,Lawrence of Arabia,1962,8.3
2001: A Space Odyssey,2001: A Space Odyssey,1968,8.3
Reservoir Dogs,Reservoir Dogs,1992,8.3
Scarface,Scarface,1983,8.3
Heat,Heat,1995,8.3
Double Indemnity,Double Indemnity,1944,8.3
Up,Up,2009,8.3
North by Northwest,North by Northwest,1959,8.3
M,M,1931,8.3
Full Metal Jacket,Full Metal Jacket,1987,8.2
Citizen Kane,Citizen Kane,1941,8.2
Like Stars on Earth,Like Stars on Earth,2007,8.3
Vertigo,Vertigo,1958,8.2
Amélie,Amélie,2001,8.3
A Separation,A Separation,2011,8.3
Die Hard,Die Hard,1988,8.2
To Kill a Mockingbird,To Kill a Mockingbird,1962,8.3
Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,1989,8.2
The Sting,The Sting,1973,8.2
A Clockwork Orange,A Clockwork Orange,1971,8.2
Metropolis,Metropolis,1927,8.3
Snatch,Snatch,2000,8.2
1917,1917,2019,8.2
L,L.A. Confidential,1997,8.2
Oppenheimer,Oppenheimer,2023,8.3
Downfall,Downfall,2004,8.2
Bicycle Thieves,Bicycle Thieves,1948,8.2
Dangal,Dangal,2016,8.3
The Wolf of Wall Street,The Wolf of Wall Street,2013,8.2
The Truman Show,The Truman Show,1998,8.2
Green Book,Green Book,2018,8.2
Hamilton,Hamilton,2020,8.3
Batman Begins,Batman Begins,2005,8.2
Taxi Driver,Taxi Driver,1976,8.2
Judgment at Nuremberg,Judgment at Nuremberg,1961,8.3
Shutter Island,Shutter Island,2010,8.2
For a Few Dollars More,For a Few Dollars More,1965,8.2
Some Like It Hot,Some Like It Hot,1959,8.2
Jurassic Park,Jurassic Park,1993,8.2
There Will Be Blood,There Will Be Blood,2007,8.2
The Kid,The Kid,1921,8.2
The Father,The Father,2020,8.2
All About Eve,All About Eve,1950,8.2
The Sixth Sense,The Sixth Sense,1999,8.2
Ran,Ran,1985,8.2
Casino,Casino,1995,8.2
The Chaos Class Failed the Class,The Chaos Class Failed the Class,1975,8.6
No Country for Old Men,No Country for Old Men,2007,8.2
The Thing,The Thing,1982,8.2
Top Gun: Maverick,Top Gun: Maverick,2022,8.2
Pan's Labyrinth,Pan's Labyrinth,2006,8.2
Unforgiven,Unforgiven,1992,8.2
Prisoners,Prisoners,2013,8.2
Kill Bill: Vol,1,2003,8.2
A Beautiful Mind,A Beautiful Mind,2001,8.2
The Treasure of the Sierra Madre,The Treasure of the Sierra Madre,1948,8.2
Howl's Moving Castle,Howl's Moving Castle,2004,8.2
Finding Nemo,Finding Nemo,2003,8.2
Yojimbo,Yojimbo,1961,8.2
The Great Escape,The Great Escape,1963,8.2
Monty Python and the Holy Grail,Monty Python and the Holy Grail,1975,8.2
The Best of Youth,The Best of Youth,2003,8.4
The Elephant Man,The Elephant Man,1980,8.2
Klaus,Klaus,2019,8.2
Dial M for Murder,Dial M for Murder,1954,8.2
Gone with the Wind,Gone with the Wind,1939,8.2
The Secret in Their Eyes,The Secret in Their Eyes,2009,8.2
Chinatown,Chinatown,1974,8.1
"Lock, Stock and Two Smoking Barrels","Lock, Stock and Two Smoking Barrels",1998,8.1
Demon Slayer: Kimetsu no Yaiba- The Movie - Infinity Castle,Demon Slayer: Kimetsu no Yaiba- The Movie - Infinity Castle,2025,8.5
V for Vendetta,V for Vendetta,2005,8.1
Rashomon,Rashomon,1950,8.1
Inside Out,Inside Out,2015,8.1
Catch Me If You Can,Catch Me If You Can,2002,8.1
"Three Billboards Outside Ebbing, Missouri","Three Billboards Outside Ebbing, Missouri",2017,8.1
Trainspotting,Trainspotting,1996,8.1
The Bridge on the River Kwai,The Bridge on the River Kwai,1957,8.1
Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2,2011,8.1
Fargo,Fargo,1996,8.1
Raging Bull,Raging Bull,1980,8.1
Warrior,Warrior,2011,8.1
The Wild Robot,The Wild Robot,2024,8.2
Dead Poets Society,Dead Poets Society,1989,8.1
Barry Lyndon,Barry Lyndon,1975,8.1
Ben-Hur,Ben-Hur,1959,8.1
Million Dollar Baby,Million Dollar Baby,2004,8.1
Mad Max: Fury Road,Mad Max: Fury Road,2015,8.1
Gran Torino,Gran Torino,2008,8.1
My Neighbor Totoro,My Neighbor Totoro,1988,8.1
Children of Heaven,Children of Heaven,1997,8.2
Hacksaw Ridge,Hacksaw Ridge,2016,8.1
The Grand Budapest Hotel,The Grand Budapest Hotel,2014,8.1
12 Years a Slave,12 Years a Slave,2013,8.1
Before Sunrise,Before Sunrise,1995,8.1
Blade Runner,Blade Runner,1982,8.1
Memories of Murder,Memories of Murder,2003,8.1
Spider-Man: No Way Home,Spider-Man: No Way Home,2021,8.2
Ratatouille,Ratatouille,2007,8.1
How to Train Your Dragon,How to Train Your Dragon,2010,8.1
Gone Girl,Gone Girl,2014,8.1
"Monsters, Inc","Monsters, Inc.",2001,8.1
Jaws,Jaws,1975,8.1
In the Name of the Father,In the Name of the Father,1993,8.1
Ford v Ferrari,Ford v Ferrari,2019,8.1
Wild Tales,Wild Tales,2014,8.1
The Gold Rush,The Gold Rush,1925,8.1
Sherlock Jr,Sherlock Jr.,1924,8.1
Mary and Max,Mary and Max,2009,8.1
The Deer Hunter,The Deer Hunter,1978,8.1
The Wages of Fear,The Wages of Fear,1953,8.1
The General,The General,1926,8.1
Logan,Logan,2017,8.1
Mr,Smith Goes to Washington,1939,8.1
Rocky,Rocky,1976,8.1
On the Waterfront,On the Waterfront,1954,8.1
Tokyo Story,Tokyo Story,1953,8.1
Wild Strawberries,Wild Strawberries,1957,8.1
Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1
The Third Man,The Third Man,1949,8.1
Spotlight,Spotlight,2015,8.1
Jai Bhim,Jai Bhim,2021,8.6
Maharaja,Maharaja,2024,8.3
La haine,La haine,1995,8.1
The Terminator,The Terminator,1984,8.1
The Big Lebowski,The Big Lebowski,1998,8.1
The Sound of Music,The Sound of Music,1965,8.1
The Seventh Seal,The Seventh Seal,1957,8.1
Room,Room,2015,8.1
The Best Years of Our Lives,The Best Years of Our Lives,1946,8.1
A Silent Voice: The Movie,A Silent Voice: The Movie,2016,8.2
Hotel Rwanda,Hotel Rwanda,2004,8.1
Platoon,Platoon,1986,8.1
Before Sunset,Before Sunset,2004,8.1
The Incredibles,The Incredibles,2004,8.0
The Exorcist,The Exorcist,1973,8.1
Hachi: A Dog's Tale,Hachi: A Dog's Tale,2009,8.1
The Wizard of Oz,The Wizard of Oz,1939,8.1
Rush,Rush,2013,8.1
The Passion of Joan of Arc,The Passion of Joan of Arc,1928,8.1
Stand by Me,Stand by Me,1986,8.1
The Iron Giant,The Iron Giant,1999,8.1
My Father and My Son,My Father and My Son,2005,8.2
The Battle of Algiers,The Battle of Algiers,1966,8.1
The Handmaiden,The Handmaiden,2016,8.1
Network,Network,1976,8.1
Gangs of Wasseypur,Gangs of Wasseypur,2012,8.2
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,8.2
The Grapes of Wrath,The Grapes of Wrath,1940,8.1
Drishyam,Drishyam,2015,8.2
To Be or Not to Be,To Be or Not to Be,1942,8.1
Autumn Sonata,Autumn Sonata,1978,8.1
Andhadhun,Andhadhun,2018,8.2
